Autorización,Fecha operación,,Tipo,Movimiento,Importe,Estatus,Ref. 1,Detalle
51775537,16/03/2022 09:34:37,2022-03-16 09:34:37,PAGOS,PAGOS,$54.75,APLICADO,PAGO DE: SARGI,"Principal: 32.37693 Interes: 19.28360 Impuesto Interes:  3.08538 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51580528,10/03/2022 16:32:04,2022-03-10 16:32:04,PAGOS,PAGOS,$15.10,APLICADO,PAGO DE: ARQYORCH,"Principal: 12.57505 Interes: 1.71452 Impuesto Interes:  0.27432 Moratorios: 0.45970  Impuesto Moratorios: 0.07355 IVA Comisión Moratorios:  0.00074"
51444170,07/03/2022 13:07:59,2022-03-07 13:07:59,PAGOS,PAGOS,$24.37,APLICADO,PAGO DE: GLACE,"Principal: 22.63158 Interes: 1.50017 Impuesto Interes:  0.24003 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51430401,07/03/2022 09:02:33,2022-03-07 09:02:33,PAGOS,PAGOS,$11.09,APLICADO,PAGO DE: GRETTEL35,"Principal: 4.99517 Interes: 5.25846 Impuesto Interes:  0.84135 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51358693,03/03/2022 08:46:11,2022-03-03 08:46:11,PAGOS,PAGOS,$9.10,APLICADO,PAGO DE: SMRV76,"Principal: 6.70227 Interes: 2.06564 Impuesto Interes:  0.33050 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51338039,03/03/2022 08:31:02,2022-03-03 08:31:02,PAGOS,PAGOS,$25.34,APLICADO,PAGO DE: LUIS MIGUEL PéREZ BAéZ,"Principal: 18.63800 Interes: 5.77807 Impuesto Interes:  0.92449 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51313579,02/03/2022 10:16:15,2022-03-02 10:16:15,PAGOS,PAGOS,$12.96,APLICADO,PAGO DE: JESUSALVAREZ,"Principal: 9.52514 Interes: 2.96505 Impuesto Interes:  0.47441 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51216998,01/03/2022 11:34:39,2022-03-01 11:34:39,PAGOS,PAGOS,$2.00,APLICADO,PAGO DE: GMORIN,"Principal: 0.00000 Interes: 0.00000 Impuesto Interes:  0.00000 Moratorios: 1.72414  Impuesto Moratorios: 0.27586 IVA Comisión Moratorios:  0.00276"
51192632,01/03/2022 07:54:54,2022-03-01 07:54:54,PAGOS,PAGOS,$42.45,APLICADO,PAGO DE: CACH_INDOMITUS,"Principal: 39.42052 Interes: 2.61300 Impuesto Interes:  0.41808 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
51181200,01/03/2022 07:49:58,2022-03-01 07:49:58,PAGOS,PAGOS,$28.86,APLICADO,PAGO DE: ESTEBAN MENDEZ,"Principal: 23.15726 Interes: 4.91603 Impuesto Interes:  0.78656 Moratorios: 0.00000  Impuesto Moratorios: 0.00000 IVA Comisión Moratorios:  0.00000"
